YearsExperience,Salary
1.1,338349.8
1.3,397363.0
1.5,324486.6
2.0,374315.0
2.2,343062.6
2.9,487121.19999999995
3.0,517290.0
3.2,468227.0
3.2,554227.0
3.7,491825.39999999997
3.9,543674.7999999999
4.0,479828.39999999997
4.0,489830.19999999995
4.1,490896.6
4.5,525554.6
4.9,584266.7999999999
5.1,567849.4
5.3,714556.7999999999
5.9,699721.7999999999
6.0,807884.0
6.8,788946.7999999999
7.1,845147.7999999999
7.9,871197.2
8.2,978783.2
8.7,941106.6
9.0,908005.2
9.5,1005933.3999999999
9.6,968661.0
10.3,1052562.5999999999
10.5,1048099.2
